"Timestamp","Date","Author","Reviewer","Branch","PassedReview","ReviewMinutes"
"6/3/2017 7:25:17",2017-06-03,"A1","R1",1139,"yes",73
"6/3/2017 7:47:59",2017-06-03,"A1","R1",1117,"yes",14
"6/5/2017 10:56:05",2017-06-05,"A2","R2",1119,"no",45
"6/5/2017 10:59:16",2017-06-05,"A2","R2",1118,"yes",15
"6/6/2017 15:10:11",2017-06-06,"A2","R2",1009,"yes",15
"6/7/2017 16:00:45",2017-06-07,"A2","R2",1163,"yes",15
"6/8/2017 7:51:15",2017-06-08,"A1","R1",1162,"no",70
"6/8/2017 10:02:32",2017-06-08,"A1","R1",1158,"yes",10
"6/8/2017 10:55:31",2017-06-08,"A1","R1",1151,"no",45
"6/9/2017 5:45:58",2017-06-09,"A1","R1",1164,"yes",7
"6/10/2017 7:48:34",2017-06-10,"A1","R1",1146,"yes",33
"6/11/2017 7:39:55",2017-06-11,"A1","R1",1172,"yes",12
"6/12/2017 7:48:10",2017-06-12,"A1","R1",1048,"yes",60
"6/13/2017 7:35:39",2017-06-13,"A1","R1",1150,"yes",20
"6/13/2017 7:48:03",2017-06-13,"A1","R1",1196,"yes",6
"6/13/2017 7:56:18",2017-06-13,"A1","R1",1195,"yes",7
"6/13/2017 14:20:31",2017-06-13,"A2","R2",1008,"yes",30
"6/28/2017 11:46:14",2017-06-28,"A1","R1",1160,"no",80
"6/29/2017 10:52:51",2017-06-29,"A1","R1",1160,"yes",105
"6/29/2017 11:16:47",2017-06-29,"A1","R1",1166,"no",25
"6/30/2017 7:38:22",2017-06-30,"A1","R1",1166,"yes",30
"6/30/2017 11:14:04",2017-06-30,"A1","R1",1226,"yes",48
"7/1/2017 7:33:59",2017-07-01,"A1","R1",1208,"yes",20
"7/1/2017 9:11:33",2017-07-01,"A1","R1",996,"no",75
"7/14/2017 16:19:02",2017-07-14,"A2","R2",1175,"yes",30
"7/15/2017 7:49:10",2017-07-15,"A1","R1",1041,"yes",23
"7/24/2017 15:08:57",2017-07-24,"A2","R2",1236,"yes",30
"7/24/2017 15:09:16",2017-07-24,"A2","R2",1238,"yes",30
"8/1/2017 7:35:49",2017-08-01,"A1","R1",525,"yes",25
"8/1/2017 8:04:33",2017-08-01,"A1","R1",1223,"yes",22
"8/2/2017 8:11:20",2017-08-02,"A1","R1",1233,"yes",34
"8/2/2017 10:09:04",2017-08-02,"A1","R1",835,"yes",12
"8/2/2017 10:36:04",2017-08-02,"A1","R1",1243,"no",25
"8/2/2017 11:06:17",2017-08-02,"A1","R1",1234,"yes",27
"8/4/2017 7:51:27",2017-08-04,"A1","R1",525,"no",72
"8/5/2017 7:02:05",2017-08-05,"A1","R1",1231,"yes",7
"8/7/2017 8:21:19",2017-08-07,"A1","R1",990,"yes",23
"8/7/2017 8:44:59",2017-08-07,"A1","R1",1237,"yes",20
"8/7/2017 9:15:15",2017-08-07,"A1","R1",1194,"yes",25
"8/7/2017 10:14:19",2017-08-07,"A1","R1",1122,"yes",6
"8/7/2017 11:08:03",2017-08-07,"A1","R1",1121,"yes",20
"8/8/2017 15:30:43",2017-08-08,"A2","R2",1255,"yes",15
"8/9/2017 6:56:14",2017-08-09,"A1","R1",997,"no",35
"8/14/2017 10:41:19",2017-08-14,"A1","R1",1272,"yes",35
"8/15/2017 7:49:59",2017-08-15,"A1","R1",997,"no",64
"8/16/2017 11:31:22",2017-08-16,"A1","R1",997,"yes",90
"8/17/2017 11:29:07",2017-08-17,"A1","R1",1251,"yes",145
"8/21/2017 10:57:26",2017-08-21,"A1","R1",1269,"yes",20
"8/23/2017 7:32:55",2017-08-23,"A1","R1",1276,"yes",15
"8/23/2017 7:47:12",2017-08-23,"A1","R1",1277,"no",12
"8/25/2017 8:09:53",2017-08-25,"A1","R1",1265,"no",30
"8/26/2017 8:04:16",2017-08-26,"A1","R1",1265,"yes",55
"8/27/2017 8:10:39",2017-08-27,"A1","R1",1257,"no",45
"8/28/2017 17:04:32",2017-08-28,"A1","R1",1257,"yes",34
"8/31/2017 10:17:01",2017-08-31,"A1","R1",1270,"yes",70
"9/7/2017 8:23:05",2017-09-07,"A1","R1",1267,"yes",85
"9/8/2017 10:47:20",2017-09-08,"A1","R1",1266,"no",90
"9/10/2017 8:18:16",2017-09-10,"A1","R1",1308,"yes",15
"9/10/2017 8:57:59",2017-09-10,"A1","R1",1319,"yes",2
"9/11/2017 11:16:41",2017-09-11,"A1","R1",1271,"yes",45
"9/16/2017 8:20:00",2017-09-16,"A1","R1",565,"no",50
"9/18/2017 16:52:22",2017-09-18,"A1","R1",1266,"yes",145
"9/19/2017 7:55:32",2017-09-19,"A1","R1",1320,"no",60
"9/19/2017 10:40:37",2017-09-19,"A1","R1",565,"yes",51
"9/21/2017 10:50:09",2017-09-21,"A1","R1",1262,"yes",90
"9/25/2017 12:16:27",2017-09-25,"A2","R2",1344,"yes",30
"9/25/2017 12:25:16",2017-09-25,"A2","R2",1341,"yes",10
"9/25/2017 13:11:54",2017-09-25,"A2","R2",1343,"yes",5
"9/26/2017 11:35:36",2017-09-25,"A2","R2",1342,"yes",30
"9/28/2017 8:19:23",2017-09-28,"A1","R1",1336,"no",47
"9/29/2017 6:45:11",2017-09-29,"A1","R1",1333,"yes",7
"9/29/2017 7:25:30",2017-09-29,"A1","R1",1280,"no",24
"9/29/2017 14:53:01",2017-09-29,"A2","R2",1376,"yes",5
"9/29/2017 15:44:28",2017-09-29,"A2","R2",1338,"yes",45
"9/29/2017 16:27:19",2017-09-29,"A2","R2",1340,"yes",30
"9/30/2017 6:54:43",2017-09-30,"A1","R1",1336,"yes",17
"9/30/2017 7:55:22",2017-09-30,"A1","R1",1280,"yes",60
"10/2/2017 17:22:42",2017-10-02,"A2","R2",1375,"yes",15
"10/4/2017 12:35:59",2017-10-04,"A1","R1",1357,"yes",16
"10/6/2017 14:57:50",2017-10-06,"A2","R2",1363,"yes",60
"10/7/2017 7:52:49",2017-10-07,"A1","R1",1380,"yes",40
"10/9/2017 7:52:46",2017-10-09,"A1","R1",1379,"yes",32
"10/10/2017 14:16:59",2017-10-10,"A2","R2",1397,"yes",45
"10/10/2017 17:52:45",2017-10-10,"A2","R2",1400,"yes",10
"10/11/2017 9:12:20",2017-10-11,"A1","R1",1352,"no",130
"10/12/2017 7:52:36",2017-10-12,"A1","R1",1352,"yes",80
"10/14/2017 8:03:14",2017-10-14,"A1","R1",1337,"yes",68
"10/17/2017 9:15:37",2017-10-16,"A2","R2",1353,"yes",30
"10/17/2017 9:15:52",2017-10-16,"A2","R2",1365,"yes",30
"10/18/2017 7:19:07",2017-10-18,"A1","R1",1362,"no",37
"10/18/2017 14:05:01",2017-10-18,"A2","R2",1362,"yes",15
"10/19/2017 7:03:33",2017-10-19,"A1","R1",1412,"yes",13
"10/23/2017 11:41:32",2017-10-23,"A1","R1",1418,"yes",13
"10/23/2017 12:02:53",2017-10-23,"A2","R2",1421,"yes",30
"10/23/2017 12:04:10",2017-10-23,"A2","R2",1416,"yes",30
"10/24/2017 7:24:38",2017-10-24,"A1","R1",1364,"yes",24
"10/24/2017 7:51:27",2017-10-24,"A1","R1",1366,"yes",17
"10/25/2017 7:58:56",2017-10-25,"A1","R1",1277,"no",53
"10/26/2017 8:00:32",2017-10-26,"A1","R1",1425,"no",60
"10/26/2017 10:50:30",2017-10-26,"A1","R1",1425,"yes",21
"10/26/2017 11:55:37",2017-10-26,"A1","R1",996,"yes",33
"10/27/2017 8:19:01",2017-10-27,"A1","R1",1277,"no",100
"10/27/2017 10:59:36",2017-10-27,"A1","R1",1346,"yes",22
"10/29/2017 7:48:52",2017-10-29,"A1","R1",1277,"yes",59
"10/30/2017 8:24:33",2017-10-30,"A1","R1",1424,"yes",57
"10/30/2017 10:58:31",2017-10-30,"A1","R1",1063,"no",58
"11/2/2017 14:56:17",2017-11-02,"A2","R2",1447,"yes",30
"11/2/2017 14:57:04",2017-11-01,"A2","R2",1063,"yes",60
"11/3/2017 7:49:48",2017-11-03,"A1","R1",1431,"yes",18
"11/6/2017 16:39:29",2017-11-06,"A2","R2",1436,"yes",15
"11/9/2017 7:24:27",2017-11-09,"A1","R1",1402,"yes",22
"11/9/2017 10:16:10",2017-11-09,"A1","R1",1477,"no",10
"11/10/2017 8:33:32",2017-11-10,"A1","R1",1478,"yes",55
"11/13/2017 15:10:48",2017-11-13,"A2","R2",1494,"yes",60
"11/14/2017 12:22:24",2017-11-14,"A2","R2",1495,"yes",20
"11/14/2017 12:28:23",2017-11-14,"A1","R1",1481,"yes",5
"11/15/2017 7:26:49",2017-11-15,"A1","R1",1484,"yes",3
"11/15/2017 7:28:42",2017-11-15,"A1","R1",1486,"yes",2
"11/15/2017 7:42:59",2017-11-15,"A1","R1",1480,"yes",13
"11/15/2017 8:06:10",2017-11-15,"A1","R1",1483,"no",16
